Customer Id,Customer Name,Email,Location,Marital Status,Income Level,Frequency,Occupation,Age,Gender,Subscription Status,Payment Method,,Interest,Category,Item Purchased
26,Larry Lozano,larry.lozano@gmail.com,Lucknow,Single,700000,Yearly,Chef,22,Female,No,Bank Transfer,,"Technology, Cars, Reading, Electronics",Automobiles,Electric Car
27,Joseph Burgess,joseph.burgess@outlook.com,Varanasi,Married,1800000,Half Yearly,Chef,68,Female,No,Venmo,,"Writing, Reading, Gaming",Books,Fiction
28,Rachel Wheeler,rachel.wheeler@yahoo.com,Lucknow,Married,100000,Half Yearly,Entrepreneur,33,Male,Yes,Bank Transfer,,"Technology, Cars, Cycling",Automobiles,Luxury Car
29,Julie Parker,julie.parker@hotmail.com,Chennai,Single,600000,Yearly,Teacher,36,Male,Yes,PayPal,,"Fashion, Beauty, Dancing",Beauty Products,Shampoo
30,Karen Lopez,karen.lopez@yahoo.com,Hyderabad,Married,1700000,Quarterly,Manager,47,Male,Yes,Cash,,"Technology, Gadgets, Dancing",Smartphones,iPhone
31,Brandon Cortez,brandon.cortez@outlook.com,Visakhapatnam,Married,600000,Yearly,Chef,45,Male,No,Bank Transfer,,"Electronics, Technology, Music, Photography",Watches,Smartwatch
32,Catherine Edwards,catherine.edwards@outlook.com,Surat,Single,700000,Half Yearly,Artist,37,Male,Yes,Venmo,,"Technology, Gadgets, Painting",Smartphones,iPhone
33,Carl James,carl.james@yahoo.com,Thane,Married,800000,Yearly,Engineer,68,Female,Yes,PayPal,,"Beauty, Fashion, Cycling, Fitness",Beauty Products,Lipstick
34,Stephanie Myers,stephanie.myers@outlook.com,Pune,Married,300000,Yearly,Engineer,18,Male,Yes,Cash,,"Reading, Writing, Photography, Dancing",Books,Biography
35,Donna Lynch,donna.lynch@hotmail.com,Patna,Single,500000,Half Yearly,Chef,45,Male,No,Bank Transfer,,"Electronics, Technology, Cycling",Watches,Smartwatch
36,Amanda Yang,amanda.yang@hotmail.com,Bangalore,Married,2200000,Monthly,Chef,28,Female,Yes,PayPal,,"Beauty, Fashion, Reading",Beauty Products,Shampoo
37,Julie Dean,julie.dean@outlook.com,Agra,Single,1200000,Monthly,Artist,37,Female,Yes,Cash,,"Electronics, Technology, Photography",Watches,Luxury Watch
38,Tammy Hines,tammy.hines@gmail.com,Bangalore,Married,1900000,Half Yearly,Lawyer,57,Female,Yes,PayPal,,"Fashion, Beauty, Dancing, Music",Beauty Products,Face Cream
39,Tracy Sellers,tracy.sellers@yahoo.com,Srinagar,Single,800000,Yearly,Artist,20,Female,Yes,Cash,,"Fashion, Shopping, Music",Clothes,Jeans
40,Stacy Parker,stacy.parker@hotmail.com,Pune,Married,2400000,Yearly,Banker,20,Male,No,Cash,,"Reading, Writing, Fitness",Books,Fiction
41,Melinda Cisneros,melinda.cisneros@hotmail.com,Mumbai,Single,2100000,Yearly,Entrepreneur,32,Male,No,Credit Card,,"Fashion, Beauty, Art",Beauty Products,Perfume
42,Susan Young,susan.young@gmail.com,Mumbai,Married,2300000,Yearly,Chef,70,Female,No,PayPal,,"Fashion, Beauty, Dancing",Beauty Products,Conditioner
43,Kenneth Lam,kenneth.lam@outlook.com,Vadodara,Married,2300000,Yearly,Banker,57,Male,Yes,Venmo,,"Technology, Electronics, Painting, Cycling",Watches,Luxury Watch
44,Theresa Alexander,theresa.alexander@yahoo.com,Mumbai,Married,2300000,Quarterly,Lawyer,30,Male,No,Credit Card,,"Fashion, Shopping, Gaming, Cycling",Clothes,Jacket
45,Teresa Roberts,teresa.roberts@gmail.com,Ahmedabad,Married,2100000,Quarterly,Lawyer,43,Female,Yes,Bank Transfer,,"Electronics, Technology, Hiking",Watches,Digital
46,Christine Vargas,christine.vargas@outlook.com,Kolkata,Married,300000,Yearly,Manager,29,Female,No,PayPal,,"Beauty, Fashion, Cycling",Beauty Products,Face Cream
47,Thomas Stevenson,thomas.stevenson@gmail.com,Kanpur,Married,1100000,Quarterly,Banker,34,Female,Yes,Bank Transfer,,"Beauty, Fashion, Yoga, Writing",Beauty Products,Conditioner
48,Juan Knight,juan.knight@gmail.com,Kanpur,Single,2200000,Half Yearly,Banker,51,Male,No,Credit Card,,"Technology, Electronics, Gardening, Sports",Watches,Digital
49,Alexa Taylor,alexa.taylor@gmail.com,Kanpur,Single,1100000,Yearly,Lawyer,47,Female,No,Bank Transfer,,"Technology, Gadgets, Hiking, Movies",Smartphones,Xiaomi
50,Curtis Phillips,curtis.phillips@yahoo.com,Hyderabad,Single,1300000,Monthly,Artist,47,Female,Yes,PayPal,,"Fashion, Beauty, Travel",Beauty Products,Hair Dryer
51,Paul Johnson,paul.johnson@outlook.com,Patna,Married,400000,Quarterly,Doctor,63,Male,Yes,PayPal,,"Cars, Technology, Gaming",Automobiles,Hatchback
52,Kelly Bruce,kelly.bruce@outlook.com,Indore,Single,2600000,Quarterly,Chef,29,Female,Yes,Bank Transfer,,"Technology, Gadgets, Hiking, Travel",Smartphones,Google Pixel
53,Taylor Medina,taylor.medina@yahoo.com,Patna,Married,1400000,Half Yearly,Teacher,65,Female,Yes,PayPal,,"Gadgets, Technology, Gaming, Art",Smartphones,Xiaomi
54,Christopher Fields,christopher.fields@hotmail.com,Thane,Married,700000,Quarterly,Lawyer,64,Male,No,Debit Card,,"Technology, Gadgets, Writing, Photography",Smartphones,Google Pixel
55,Nicholas Johnson,nicholas.johnson@hotmail.com,Mumbai,Married,1400000,Quarterly,Entrepreneur,41,Male,Yes,Debit Card,,"Technology, Electronics, Fitness, Movies",Watches,Luxury Watch
56,April Lambert,april.lambert@gmail.com,Kanpur,Single,1600000,Monthly,Engineer,46,Male,Yes,Bank Transfer,,"Beauty, Fashion, Dancing",Beauty Products,Lipstick
57,Nancy Carroll,nancy.carroll@gmail.com,Mumbai,Single,2600000,Half Yearly,Entrepreneur,40,Female,No,Venmo,,"Shopping, Fashion, Movies, Electronics",Clothes,Jacket
58,Colleen Rojas,colleen.rojas@yahoo.com,Srinagar,Single,1300000,Monthly,Lawyer,64,Male,No,Venmo,,"Technology, Electronics, Cycling",Watches,Luxury Watch
59,Andrew Campos,andrew.campos@hotmail.com,Pune,Single,600000,Yearly,Chef,28,Male,No,PayPal,,"Fashion, Shopping, Electronics, Writing",Clothes,Skirt
60,Laurie Thompson,laurie.thompson@gmail.com,Patna,Married,1500000,Yearly,Banker,45,Female,Yes,Credit Card,,"Reading, Writing, Electronics",Books,History
61,Daniel Watts,daniel.watts@gmail.com,Indore,Single,600000,Monthly,Banker,55,Male,No,Venmo,,"Reading, Writing, Art, Dancing",Books,History
62,Travis Mcdaniel,travis.mcdaniel@outlook.com,Visakhapatnam,Single,700000,Half Yearly,Chef,67,Female,Yes,Venmo,,"Gadgets, Technology, Writing",Smartphones,Huawei
63,David Williams,david.williams@gmail.com,Lucknow,Single,2300000,Yearly,Teacher,61,Female,Yes,Venmo,,"Reading, Writing, Fashion, Fitness",Books,Fiction
64,Evelyn Travis,evelyn.travis@gmail.com,Srinagar,Married,2500000,Yearly,Banker,58,Male,Yes,PayPal,,"Shopping, Fashion, Writing",Clothes,T-Shirt
65,Martin Stephens,martin.stephens@outlook.com,Bangalore,Single,1700000,Monthly,Chef,34,Female,No,Credit Card,,"Gadgets, Technology, Hiking",Smartphones,iPhone
66,Kenneth Foster,kenneth.foster@hotmail.com,Pune,Single,2800000,Yearly,Doctor,24,Female,No,Credit Card,,"Writing, Reading, Sports, Gardening",Books,History
67,Brittany Orozco,brittany.orozco@yahoo.com,Lucknow,Married,1600000,Half Yearly,Chef,37,Male,No,Venmo,,"Electronics, Technology, Writing",Watches,Digital
68,Sue Huang,sue.huang@yahoo.com,Varanasi,Married,2200000,Half Yearly,Artist,54,Female,Yes,Bank Transfer,,"Shopping, Fashion, Travel",Clothes,Skirt
69,Cynthia Short,cynthia.short@outlook.com,Mumbai,Married,1700000,Yearly,Chef,64,Male,Yes,Bank Transfer,,"Fashion, Beauty, Photography",Beauty Products,Lipstick
70,Keith Fields,keith.fields@gmail.com,Bangalore,Single,1300000,Yearly,Teacher,59,Male,Yes,Cash,,"Reading, Writing, Fitness",Books,Biography
71,Carol Doyle,carol.doyle@gmail.com,Bangalore,Married,1200000,Yearly,Entrepreneur,26,Male,Yes,PayPal,,"Cars, Technology, Cycling",Automobiles,Hatchback
72,Randy Benson,randy.benson@yahoo.com,Kolkata,Single,3000000,Yearly,Teacher,57,Female,Yes,PayPal,,"Electronics, Technology, Reading",Watches,Analog
73,Crystal Myers,crystal.myers@outlook.com,Indore,Married,2600000,Monthly,Banker,43,Male,Yes,Debit Card,,"Fashion, Shopping, Cycling",Clothes,Jeans
74,Jack Brown,jack.brown@gmail.com,Vadodara,Married,1100000,Half Yearly,Lawyer,30,Female,No,Debit Card,,"Shopping, Fashion, Music",Clothes,Shoes
75,Aaron Lewis,aaron.lewis@yahoo.com,Kolkata,Single,1400000,Quarterly,Artist,19,Female,Yes,Debit Card,,"Cars, Technology, Sports, Cycling",Automobiles,Hatchback
76,Michael James,michael.james@gmail.com,Surat,Married,2200000,Half Yearly,Entrepreneur,33,Female,Yes,Credit Card,,"Technology, Gadgets, Yoga",Smartphones,iPhone
77,Jeffrey Huynh,jeffrey.huynh@gmail.com,Delhi,Single,1200000,Half Yearly,Chef,70,Male,No,Credit Card,,"Beauty, Fashion, Photography",Beauty Products,Perfume
78,Daniel Gordon,daniel.gordon@hotmail.com,Patna,Married,2500000,Monthly,Manager,47,Female,No,Debit Card,,"Shopping, Fashion, Technology",Clothes,Skirt
79,James Copeland,james.copeland@outlook.com,Ahmedabad,Single,1000000,Half Yearly,Entrepreneur,33,Female,Yes,Bank Transfer,,"Technology, Gadgets, Reading",Smartphones,iPhone
80,Wyatt Herrera,wyatt.herrera@outlook.com,Hyderabad,Single,500000,Quarterly,Doctor,33,Male,Yes,Venmo,,"Gadgets, Technology, Fashion",Smartphones,Xiaomi
81,Brian Fowler,brian.fowler@yahoo.com,Bangalore,Single,2000000,Monthly,Manager,54,Male,Yes,Venmo,,"Technology, Electronics, Fashion",Watches,Sports Watch
82,Jacqueline Gibbs,jacqueline.gibbs@yahoo.com,Kolkata,Single,1800000,Monthly,Teacher,38,Male,Yes,Bank Transfer,,"Shopping, Fashion, Electronics, Hiking",Clothes,Jeans
83,Charles Coleman,charles.coleman@gmail.com,Patna,Married,200000,Quarterly,Teacher,47,Male,Yes,PayPal,,"Technology, Gadgets, Fitness, Hiking",Smartphones,Google Pixel
84,Dan Smith,dan.smith@outlook.com,Patna,Single,100000,Yearly,Banker,69,Male,Yes,Credit Card,,"Beauty, Fashion, Painting",Beauty Products,Perfume
85,Robert Sanders,robert.sanders@hotmail.com,Surat,Single,700000,Yearly,Entrepreneur,56,Male,No,Venmo,,"Fashion, Shopping, Movies, Gaming",Clothes,Jacket
86,Randall Walker,randall.walker@outlook.com,Pune,Married,1600000,Half Yearly,Lawyer,26,Male,No,Credit Card,,"Technology, Gadgets, Writing, Reading",Smartphones,Samsung Galaxy
87,Stephanie Davis,stephanie.davis@yahoo.com,Visakhapatnam,Single,100000,Monthly,Engineer,60,Female,Yes,Cash,,"Electronics, Technology, Fashion, Writing",Watches,Analog
88,Michelle Jones,michelle.jones@hotmail.com,Vadodara,Single,2100000,Monthly,Lawyer,42,Female,No,Venmo,,"Reading, Writing, Fashion",Books,Self-Help
89,April Robinson,april.robinson@hotmail.com,Surat,Single,1700000,Quarterly,Doctor,18,Male,Yes,Debit Card,,"Fashion, Beauty, Sports, Cycling",Beauty Products,Lipstick
90,Jesse Garcia,jesse.garcia@yahoo.com,Agra,Married,2200000,Yearly,Engineer,18,Male,Yes,Debit Card,,"Technology, Gadgets, Electronics",Smartphones,iPhone
91,Ashley Rose,ashley.rose@gmail.com,Hyderabad,Single,1300000,Monthly,Entrepreneur,60,Male,No,Credit Card,,"Technology, Electronics, Fashion, Dancing",Watches,Luxury Watch
92,Olivia Walker,olivia.walker@hotmail.com,Hyderabad,Married,2500000,Yearly,Manager,25,Male,No,Bank Transfer,,"Electronics, Technology, Fashion",Watches,Sports Watch
93,Brian Jones,brian.jones@yahoo.com,Chennai,Married,3000000,Half Yearly,Banker,61,Female,No,Credit Card,,"Beauty, Fashion, Fitness",Beauty Products,Shampoo
94,Cheryl Haas,cheryl.haas@yahoo.com,Kolkata,Single,900000,Monthly,Manager,67,Male,No,Credit Card,,"Fashion, Beauty, Reading",Beauty Products,Lipstick
95,Aaron Bray,aaron.bray@outlook.com,Kanpur,Married,2500000,Quarterly,Manager,39,Male,Yes,Credit Card,,"Fashion, Beauty, Movies",Beauty Products,Lipstick
96,Timothy Thompson,timothy.thompson@outlook.com,Kanpur,Married,1500000,Quarterly,Teacher,50,Female,No,PayPal,,"Technology, Gadgets, Travel",Smartphones,Huawei
97,Sarah Sims,sarah.sims@outlook.com,Chennai,Single,1300000,Quarterly,Lawyer,24,Female,No,Cash,,"Fashion, Beauty, Yoga, Movies",Beauty Products,Perfume
98,Jordan Myers,jordan.myers@outlook.com,Agra,Single,700000,Half Yearly,Teacher,60,Female,Yes,Venmo,,"Electronics, Technology, Movies",Watches,Sports Watch
99,Marilyn Morris,marilyn.morris@yahoo.com,Ahmedabad,Married,600000,Quarterly,Banker,36,Male,No,PayPal,,"Electronics, Technology, Hiking",Watches,Analog
100,Tiffany Weber,tiffany.weber@outlook.com,Visakhapatnam,Single,1200000,Quarterly,Teacher,65,Female,Yes,PayPal,,"Gadgets, Technology, Cooking",Smartphones,iPhone
101,Elizabeth Olsen,elizabeth.olsen@outlook.com,Kolkata,Single,2300000,Yearly,Engineer,48,Male,No,Credit Card,,"Electronics, Technology, Gardening, Writing",Watches,Digital
102,David Bennett,david.bennett@hotmail.com,Bangalore,Married,900000,Half Yearly,Lawyer,31,Female,No,Bank Transfer,,"Fashion, Beauty, Reading",Beauty Products,Lipstick
103,Kathryn Lewis,kathryn.lewis@gmail.com,Agra,Married,100000,Quarterly,Doctor,35,Female,No,Venmo,,"Reading, Writing, Music, Yoga",Books,Non-Fiction
104,Linda Wilson,linda.wilson@hotmail.com,Chennai,Married,400000,Monthly,Manager,42,Male,No,Bank Transfer,,"Electronics, Technology, Gardening, Yoga",Watches,Sports Watch
105,Evan Reed DDS,evan.reed.dds@gmail.com,Chennai,Single,100000,Quarterly,Doctor,56,Male,Yes,Credit Card,,"Technology, Gadgets, Hiking, Photography",Smartphones,Xiaomi
106,Melinda Yoder,melinda.yoder@hotmail.com,Pune,Single,300000,Yearly,Entrepreneur,20,Male,Yes,Credit Card,,"Technology, Electronics, Art, Music",Watches,Smartwatch
107,Andrew Warner,andrew.warner@hotmail.com,Varanasi,Single,100000,Monthly,Chef,22,Male,Yes,Venmo,,"Electronics, Technology, Gardening",Watches,Luxury Watch
108,Amanda Dean,amanda.dean@gmail.com,Vadodara,Married,2700000,Quarterly,Teacher,55,Female,No,Bank Transfer,,"Cars, Technology, Art, Travel",Automobiles,Hatchback
109,Justin Chapman,justin.chapman@outlook.com,Kolkata,Married,1900000,Monthly,Chef,32,Male,Yes,PayPal,,"Technology, Cars, Reading, Photography",Automobiles,Hatchback
110,Tanya Espinoza,tanya.espinoza@yahoo.com,Srinagar,Married,400000,Quarterly,Chef,19,Male,No,Venmo,,"Shopping, Fashion, Sports",Clothes,Skirt
111,Steven Lindsey,steven.lindsey@yahoo.com,Mumbai,Single,1000000,Monthly,Banker,38,Male,No,PayPal,,"Cars, Technology, Cooking",Automobiles,Electric Car
112,Crystal Garcia,crystal.garcia@gmail.com,Vadodara,Married,500000,Quarterly,Lawyer,45,Female,No,Credit Card,,"Beauty, Fashion, Art",Beauty Products,Conditioner
113,Richard Luna,richard.luna@yahoo.com,Jaipur,Single,2300000,Yearly,Manager,68,Female,No,PayPal,,"Technology, Electronics, Gaming, Cooking",Watches,Analog
114,James Massey,james.massey@gmail.com,Patna,Married,2700000,Half Yearly,Banker,65,Female,Yes,Debit Card,,"Technology, Electronics, Gardening",Watches,Luxury Watch
115,Donna Harris,donna.harris@hotmail.com,Varanasi,Married,2200000,Half Yearly,Entrepreneur,24,Female,Yes,PayPal,,"Cars, Technology, Painting",Automobiles,Luxury Car
116,Karen Lawson,karen.lawson@outlook.com,Thane,Single,2200000,Half Yearly,Manager,26,Female,No,Cash,,"Technology, Electronics, Painting, Reading",Watches,Sports Watch
117,Sheila Howell,sheila.howell@gmail.com,Delhi,Married,1400000,Half Yearly,Banker,41,Male,Yes,Cash,,"Gadgets, Technology, Electronics",Smartphones,Xiaomi
118,Mark Owens,mark.owens@hotmail.com,Surat,Single,500000,Quarterly,Chef,35,Female,Yes,Debit Card,,"Gadgets, Technology, Cycling",Smartphones,Xiaomi
119,Amy Gonzalez,amy.gonzalez@gmail.com,Visakhapatnam,Single,2200000,Yearly,Banker,31,Female,No,Debit Card,,"Fashion, Beauty, Movies, Photography",Beauty Products,Conditioner
120,Cory Walker,cory.walker@hotmail.com,Surat,Married,1300000,Quarterly,Entrepreneur,28,Female,Yes,Debit Card,,"Technology, Gadgets, Art",Smartphones,Google Pixel
121,Michelle Stone,michelle.stone@gmail.com,Pune,Single,300000,Yearly,Entrepreneur,41,Male,Yes,PayPal,,"Reading, Writing, Movies",Books,History
122,Elizabeth James,elizabeth.james@yahoo.com,Srinagar,Single,1700000,Quarterly,Banker,32,Female,No,Venmo,,"Fashion, Beauty, Yoga, Dancing",Beauty Products,Conditioner
123,Katherine Baker,katherine.baker@hotmail.com,Bangalore,Married,200000,Half Yearly,Entrepreneur,27,Male,Yes,PayPal,,"Shopping, Fashion, Music",Clothes,Skirt
124,Erin Mahoney,erin.mahoney@outlook.com,Kolkata,Married,600000,Quarterly,Lawyer,50,Female,Yes,Venmo,,"Technology, Electronics, Fashion",Watches,Digital
125,Jeremy Thomas,jeremy.thomas@hotmail.com,Surat,Married,2700000,Monthly,Lawyer,21,Male,No,Venmo,,"Technology, Gadgets, Gaming, Art",Smartphones,iPhone
126,Samuel Leonard,samuel.leonard@hotmail.com,Kanpur,Single,1700000,Quarterly,Lawyer,46,Male,Yes,Cash,,"Cars, Technology, Photography, Movies",Automobiles,Sedan
127,William Baker,william.baker@outlook.com,Ahmedabad,Married,2600000,Half Yearly,Doctor,55,Female,Yes,PayPal,,"Fashion, Beauty, Writing, Dancing",Beauty Products,Shampoo
128,John Allen,john.allen@gmail.com,Mumbai,Single,1500000,Quarterly,Engineer,69,Male,Yes,PayPal,,"Shopping, Fashion, Sports, Yoga",Clothes,T-Shirt
129,Bobby Grimes,bobby.grimes@yahoo.com,Patna,Single,1400000,Half Yearly,Chef,41,Female,Yes,PayPal,,"Gadgets, Technology, Photography",Smartphones,Huawei
130,Kimberly Phillips,kimberly.phillips@gmail.com,Jaipur,Married,2000000,Monthly,Artist,61,Male,Yes,Debit Card,,"Technology, Gadgets, Writing",Smartphones,OnePlus
131,Trevor Roberts,trevor.roberts@outlook.com,Pune,Single,2100000,Quarterly,Teacher,30,Male,Yes,Bank Transfer,,"Technology, Cars, Cycling, Art",Automobiles,Luxury Car
132,Jimmy Griffith,jimmy.griffith@hotmail.com,Lucknow,Married,900000,Yearly,Chef,19,Female,No,Debit Card,,"Technology, Electronics, Cooking, Yoga",Watches,Luxury Watch
133,Robert Murphy,robert.murphy@outlook.com,Hyderabad,Single,1300000,Half Yearly,Artist,51,Female,Yes,Cash,,"Gadgets, Technology, Photography, Writing",Smartphones,Xiaomi
134,Ashley Thomas,ashley.thomas@gmail.com,Surat,Married,2000000,Yearly,Artist,27,Male,Yes,PayPal,,"Fashion, Beauty, Painting, Gardening",Beauty Products,Perfume
135,Angela Pierce,angela.pierce@outlook.com,Mumbai,Single,2300000,Quarterly,Banker,36,Female,Yes,Cash,,"Technology, Gadgets, Gaming, Fitness",Smartphones,Huawei
136,Jared Hicks,jared.hicks@hotmail.com,Srinagar,Single,1300000,Yearly,Chef,65,Male,Yes,Credit Card,,"Writing, Reading, Electronics",Books,Self-Help
137,Nicholas Livingston,nicholas.livingston@hotmail.com,Srinagar,Single,1100000,Half Yearly,Teacher,31,Female,No,Cash,,"Technology, Gadgets, Photography",Smartphones,Samsung Galaxy
138,Christopher Scott,christopher.scott@gmail.com,Visakhapatnam,Married,1600000,Quarterly,Entrepreneur,45,Female,Yes,Bank Transfer,,"Gadgets, Technology, Sports, Electronics",Smartphones,Samsung Galaxy
139,Amanda Reed,amanda.reed@yahoo.com,Lucknow,Single,1300000,Quarterly,Engineer,61,Female,No,Cash,,"Electronics, Technology, Yoga, Fashion",Watches,Analog
140,Kenneth Greene,kenneth.greene@hotmail.com,Delhi,Married,1200000,Quarterly,Banker,35,Female,No,Bank Transfer,,"Reading, Writing, Painting, Electronics",Books,Non-Fiction
141,Sandra Williamson,sandra.williamson@hotmail.com,Indore,Married,100000,Yearly,Doctor,40,Female,Yes,Credit Card,,"Technology, Electronics, Movies",Watches,Analog
142,Christopher Wood,christopher.wood@yahoo.com,Delhi,Married,2200000,Yearly,Chef,56,Male,Yes,PayPal,,"Fashion, Beauty, Gaming",Beauty Products,Lipstick
143,Sean Moss DDS,sean.moss.dds@yahoo.com,Vadodara,Married,1800000,Monthly,Teacher,37,Female,Yes,Cash,,"Shopping, Fashion, Gardening, Yoga",Clothes,Jeans
144,Angela Anderson,angela.anderson@outlook.com,Chennai,Single,1400000,Quarterly,Lawyer,53,Female,Yes,Bank Transfer,,"Beauty, Fashion, Yoga, Writing",Beauty Products,Perfume
145,Steven Carter,steven.carter@gmail.com,Jaipur,Single,2600000,Half Yearly,Lawyer,65,Female,No,Debit Card,,"Gadgets, Technology, Music, Gaming",Smartphones,iPhone
146,Michelle Martin,michelle.martin@outlook.com,Ahmedabad,Married,2300000,Quarterly,Engineer,23,Female,No,Bank Transfer,,"Electronics, Technology, Movies, Photography",Watches,Luxury Watch
147,Adam Miranda,adam.miranda@hotmail.com,Varanasi,Married,1800000,Quarterly,Chef,58,Female,Yes,Cash,,"Shopping, Fashion, Fitness",Clothes,Jeans
148,Amy Lee,amy.lee@yahoo.com,Vadodara,Single,1800000,Monthly,Lawyer,28,Male,No,Debit Card,,"Beauty, Fashion, Reading",Beauty Products,Hair Dryer
149,Carla Everett,carla.everett@gmail.com,Chennai,Single,3000000,Yearly,Banker,24,Female,Yes,Cash,,"Fashion, Beauty, Hiking",Beauty Products,Lipstick
150,Kathy Valdez,kathy.valdez@outlook.com,Bangalore,Single,1900000,Yearly,Teacher,42,Female,Yes,Debit Card,,"Shopping, Fashion, Dancing, Painting",Clothes,T-Shirt
151,Daniel Flores,daniel.flores@gmail.com,Thane,Single,1200000,Monthly,Engineer,42,Male,Yes,Debit Card,,"Gadgets, Technology, Reading, Cooking",Smartphones,Xiaomi
152,Alicia Donovan,alicia.donovan@hotmail.com,Indore,Single,2700000,Quarterly,Manager,38,Male,No,Venmo,,"Cars, Technology, Movies, Electronics",Automobiles,Hatchback
153,Jacqueline Mcintyre,jacqueline.mcintyre@yahoo.com,Vadodara,Single,200000,Half Yearly,Teacher,22,Male,Yes,Credit Card,,"Technology, Electronics, Gaming, Cycling",Watches,Smartwatch
